envelope,epsilon,fit_window_early,fit_window_late,local_slope,rms_envelope,time
0.00022555077912092696,0.0050000000000000001,0,0,-0.57021019347973834,0.00033793662255998072,5975
0.00022499539815307436,0.0050000000000000001,0,0,-0.59068905867422927,0.00033711897143409351,6000
0.00022444296457375894,0.0050000000000000001,0,0,-0.61212322639778449,0.00033627736061927181,6025
0.00022389344540628845,0.0050000000000000001,0,0,-0.63442758828784918,0.00033541091296553267,6050
0.00022334680815860576,0.0050000000000000001,0,0,-0.65747965840216693,0.00033451892409955812,6075
0.00022280302101899453,0.0050000000000000001,0,0,-0.68112200713699167,0.00033360090936082929,6100
0.00022226205301494943,0.0050000000000000001,0,0,-0.70516929567531861,0.00033265664271237504,6125
0.00022172387411556081,0.0050000000000000001,0,0,-0.72942103016816873,0.00033168618086703623,6150
0.00022118845526577436,0.0050000000000000001,0,0,-0.75368105988513889,0.00033068986477294634,6175
0.00022065576835004572,0.0050000000000000001,0,0,-0.77778463188781188,0.00032966828980134907,6200
0.00022012578609200545,0.0050000000000000001,0,0,-0.80163346969607119,0.00032862223562828597,6225
0.00021959848190459438,0.0050000000000000001,0,0,-0.82523885749549208,0.00032755254705363768,6250
0.00021907382971077317,0.0050000000000000001,0,0,-0.8487720916048147,0.00032645995799797964,6275
0.00021855180375773156,0.0050000000000000001,0,0,-0.87262093407878183,0.00032534485276919042,6300
0.00021803237844727995,0.0050000000000000001,0,0,-0.89744992128294143,0.00032420696145227273,6325
0.00021751552820198895,0.0050000000000000001,0,0,-0.92426162245942578,0.00032304498992617812,6350
0.00021700122738118729,0.0050000000000000001,0,0,-0.9544553151549735,0.00032185618943187679,6375
0.0002164894502539535,0.0050000000000000001,0,0,-0.98987916972259882,0.00032063587557609762,6400
0.00021598017102871721,0.0050000000000000001,0,0,-1.0328720413590418,0.0003193769118101317,6425
0.00021547336393201263,0.0050000000000000001,0,0,-1.0862914648473634,0.00031806917732653224,6450
0.00021496900332317983,0.0050000000000000001,0,0,-1.1535255015755865,0.00031669904345304383,6475
0.00021446706382805754,0.0050000000000000001,0,0,-1.238487702942848,0.00031524888545916336,6500
0.0002139675204733096,0.0050000000000000001,0,0,-1.3455965544578703,0.00031369665773978855,6525
0.00021347034880403324,0.0050000000000000001,0,0,-1.4797432040093099,0.00031201555923205423,6550
0.00021297552497042907,0.0050000000000000001,0,0,-1.6462538639132163,0.00031017381246151301,6575
0.00021248302577405145,0.0050000000000000001,0,0,-1.8508558204568999,0.00030813457382073458,6600
0.00021199282866979192,0.0050000000000000001,0,0,-2.0996583657638439,0.00030585598478873234,6625
0.00021150491172551293,0.0050000000000000001,0,0,-2.3991622049027228,0.00030329136420650796,6650
0.00021101925354639672,0.0050000000000000001,0,0,-2.7563132216339454,0.0003003895309247153,6675
0.00021053583317498905,0.0050000000000000001,0,0,-3.1784300307888316,0.00029709523459988882,6700
0.00021005462998019249,0.0050000000000000001,0,0,-3.2615804620506879,0.00029335007354031002,6725
0.0002095756235489152,0.0050000000000000001,0,0,-2.9820197054141317,0.00028997623525030372,6750
0.00020909879359278584,0.0050000000000000001,0,0,-2.7233337189968552,0.00028694020247315468,6775
